#													
#   VizieR Astronomical Server vizier.u-strasbg.fr													
#    Date: 2018-07-17T09:02:53 [V1.99+ (14-Oct-2013)]													
#   In case of problem, please report to:	cds-question@unistra.fr												
#													
#													
#Coosys	J2000:	eq_FK5 J2000											
#INFO	votable-version=1.99+ (14-Oct-2013)												
#INFO	-ref=VIZ5b4db0a53aa1												
#INFO	-out.max=1000												
#INFO	queryParameters=22												
#-oc.form=dec													
#-out.max=1000													
#-out.add=_RAJ,_DEJ													
#-nav=cat:J/AJ/152/113&tab:{J/AJ/152/113/table3}&key:source=J/AJ/152/113/table3&HTTPPRM:&													
#-c.eq=J2000													
#-c.r=  2													
#-c.u=arcmin													
#-c.geom=r													
#-source=J/AJ/152/113/table3													
#-order=I													
#-out=EPIC													
#-out=f_EPIC													
#-out=t													
#-out=Name													
#-out=RAJ2000													
#-out=DEJ2000													
#-out=OName													
#-out=Vmag													
#-out=Ksmag													
#-out=(V-K)0													
#-out=Mm													
#-out=PapIII													
#													
													
#RESOURCE=yCat_51520113													
#Name: J/AJ/152/113													
#Title: Pleiades members with K2 light curves. I. Periods (Rebull+, 2016)													
#Table	J_AJ_152_113_table3:												
#Name: J/AJ/152/113/table3													
#Title: Supporting data for Pleiades members not detected to be periodic in the K2 data													
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]									
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]									
#Column	EPIC	(I9)	Number in the Ecliptic Plane Input Catalog (EPIC) for K2	[ucd=meta.id;meta.main]									
#Column	f_EPIC	(A1)	[a] Flag if not recovered literature period (1)	[ucd=meta.code]									
#Column	t	(A1)	"Indicates an object which the light curve suggests a ""timescale"" (table4)"	[ucd=meta.ref.url]									
#Column	Name	(A18)	Position based name (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id]									
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]									
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]									
#Column	OName	(a23)	Other identifier	[ucd=meta.id]									
#Column	Vmag	(F5.2)	[6.8/20.8]? The V-band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.opt.V]									
#Column	Ksmag	(F5.2)	[6.4/14.5] The 2MASS Ks (K-short) band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.IR.K]									
#Column	(V-K)0	(F5.2)	[-0.2/9.3] Dereddened V-Ks, (V-K_s_)_0_, color index (directly observed, if V and K_s_ exist, or inferred) (G1)	[ucd=phot.color;em.opt.V;em.IR.K]									
#Column	Mm	(A4)	Pleiades membership indicator (best or ok) (G2)	[ucd=meta.code.member;instr.setup]									
#Column	PapIII	(I3)	Indicates a Pleiades star in Paper III (Stauffer et al. 2016, Cat. J/AJ/152/115) [NULL integer written as an empty string]	[ucd=meta.number]									
_RAJ2000	_DEJ2000	EPIC	f_EPIC	t	Name	RAJ2000	DEJ2000	OName	Vmag	Ksmag	(V-K)0	Mm	PapIII
52.7649	19.63475	210784603	 	t	033103.57+193805.1	52.7649	19.63475	s3289407               	     	10.13	3.77	best	1
53.00981	21.38635	210899735	 	 	033202.35+212310.8	53.00981	21.38635	                       	     	12.11	4.89	best	1
53.04807	21.46559	210904850	 	 	033211.53+212756.1	53.04807	21.46559	UGCSJ033211.55+212755.7	     	13.9	7.11	best	1
53.29373	22.52204	210971138	 	 	033310.49+223119.3	53.29373	22.52204	DH027                  	15.55	11.25	4.19	best	1
53.82811	23.43919	211029507	 	 	033518.74+232621.0	53.82811	23.43919	DH045                  	     	13.98	6.22	best	1
54.21886	23.26258	211018285	 	t	033652.52+231545.2	54.21886	23.26258	DH065                  	13.66	10.62	2.93	ok  	1
54.89773	24.11842	211071563	 	t	033935.45+240706.3	54.89773	24.11842	HHJ407                 	15.66	11.18	4.37	best	1
55.41189	22.27793	211073598	 	 	034138.85+221640.5	55.41189	22.27793	HHJ176                 	     	12.6	5.34	best	1
55.42669	23.91589	211059010	 	 	034142.40+235457.2	55.42669	23.91589	HHJ6                   	     	13.73	7.18	best	1
55.82808	20.12912	210817106	 	 	034318.73+200744.8	55.82808	20.12912	UGCSJ034318.74+200744.3	     	12.49	4.96	best	1
55.83795	24.18589	211075777	 	 	034321.10+241109.2	55.83795	24.18589	HHJ65                  	     	13.35	5.64	best	1
55.93021	24.37455	211088007	 	 	034343.25+242228.3	55.93021	24.37455	HII158                 	     	7.55	0.57	best	1
56.10624	22.46391	210967607	 	 	034425.49+222750.0	56.10624	22.46391	DH335                  	     	14.24	6.6	best	1
56.10711	24.39467	211089323	 	 	034425.70+242340.8	56.10711	24.39467	HD23246=HII344         	8.17	7.47	0.59	best	1
56.14955	23.57836	211038095	 	 	034435.89+233442.0	56.14955	23.57836	HHJ5                   	20.71	14.02	6.58	best	1
56.19704	19.92827	210804032	 	 	034447.28+195541.7	56.19704	19.92827	DH354                  	     	13.93	5.59	ok  	1
56.21348	23.26896	211018711	 	 	034451.23+231608.2	56.21348	23.26896	HII470                 	8.95	7.98	0.86	best	1
56.36552	23.17035	211012313	 	 	034527.72+231013.2	56.36552	23.17035	SK520                  	16.59	11.69	4.79	ok  	1
56.40731	23.73065	211047412	 	 	034537.75+234350.3	56.40731	23.73065	SHF10                  	     	13.81	7.42	best	1
56.40741	24.33564	211085527	 	 	034537.77+242008.3	56.40741	24.33564	HD23387=HII717         	7.18	6.61	0.46	best	1
56.43504	24.22033	211078009	a	 	034544.40+241313.1	56.43504	24.22033	HII761                 	10.56	8.75	1.7	best	1
56.46514	24.0389	211066835	 	 	034551.63+240220.0	56.46514	24.0389	HD23409=HII804         	7.85	7.32	0.42	best	1
56.49041	24.05144	211067590	 	 	034557.69+240305.1	56.49041	24.05144	HHJ27                  	     	13.79	5.97	best	1
56.51203	24.52787	211097879	 	 	034602.88+243140.3	56.51203	24.52787	22Tau=HII859           	     	6.43	-0.11	best	1
56.56668	24.18984	211076042	 	 	034616.00+241123.4	56.56668	24.18984	HD23479+ADS2755A=HII956	7.96	7.11	0.74	best	1
56.61367	24.25503	211080301	 	 	034627.28+241518.1	56.61367	24.25503	HD23489=HII1028        	7.35	7.08	0.16	best	1
56.63343	24.47623	211094556	a	 	034632.02+242834.4	56.63343	24.47623	BPL106                 	     	14.24	6.67	best	1
56.64252	23.62401	211040918	 	 	034634.20+233726.4	56.64252	23.62401	HII1084                	     	7.06	0.15	best	1
56.67907	24.4141	211090558	 	 	034642.97+242450.7	56.67907	24.4141	BPL108                 	     	14.42	9.21	best	1
56.75148	23.8801	211056608	 	 	034700.35+235248.3	56.75148	23.8801	UGCSJ034700.35+235248.1	     	13.1	6.24	best	1
56.77226	20.44432	210837725	 	t	034705.34+202639.5	56.77226	20.44432	s4798986               	     	10.61	4.62	ok  	1
56.78921	24.2597	211080604	 	 	034709.41+241534.9	56.78921	24.2597	HHJ37                  	19.71	13.56	6.04	best	1
56.79909	24.22541	211078329	 	 	034711.78+241331.4	56.79909	24.22541	BPL130                 	     	13.88	7.18	best	1
56.7994	24.23165	211078745	 	 	034711.85+241353.9	56.7994	24.23165	DH499                  	     	13.13	6.26	best	1
56.83062	24.13912	211072836	 	 	034719.34+240820.8	56.83062	24.13912	HII1362                	8.25	7.64	0.5	best	1
56.83734	23.80336	211051770	 	 	034720.96+234812.0	56.83734	23.80336	HII1380                	6.99	6.89	-0.01	best	1
56.85022	24.58847	211101694	 	 	034724.05+243518.4	56.85022	24.58847	HII1384                	7.66	7	0.55	best	1
56.87274	24.28834	211082420	 	 	034729.45+241718.0	56.87274	24.28834	HII1431                	6.81	6.61	0.09	best	1
